Strike Price,Type,Open Price,Close Price,Change,Volume,Expiration Date,Date
237.5,put,0.41,0.01,-0.39999999999999997,152520,2024-07-19,2024-07-19
235.0,put,0.27,0.01,-0.26,101614,2024-07-19,2024-07-19
252.5,call,6.15,11.5,5.35,17870,2024-07-26,2024-07-22
255.0,call,5.37,10.26,4.89,18813,2024-07-26,2024-07-22
250.0,call,6.95,12.65,5.7,46732,2024-07-26,2024-07-22
247.5,call,7.85,14.0,6.15,13400,2024-07-26,2024-07-22
252.5,put,19.15,12.1,-7.049999999999999,3434,2024-07-26,2024-07-22
255.0,put,20.93,13.5,-7.43,2523,2024-07-26,2024-07-22
250.0,put,17.67,10.85,-6.820000000000002,22104,2024-07-26,2024-07-22
247.5,put,15.74,9.6,-6.140000000000001,14041,2024-07-26,2024-07-22
227.5,call,27.05,23.0,-4.050000000000001,199,2024-07-26,2024-07-23
230.0,call,25.4,21.25,-4.149999999999999,1705,2024-07-26,2024-07-23
225.0,call,29.24,25.0,-4.239999999999998,488,2024-07-26,2024-07-23
222.5,call,31.15,26.95,-4.199999999999999,94,2024-07-26,2024-07-23
227.5,put,2.9,3.9,1.0,5182,2024-07-26,2024-07-23
230.0,put,3.5,4.55,1.0499999999999998,24118,2024-07-26,2024-07-23
225.0,put,2.41,3.25,0.8399999999999999,13058,2024-07-26,2024-07-23
222.5,put,2.01,2.71,0.7000000000000002,5452,2024-07-26,2024-07-23
220.0,call,29.08,2.42,-26.659999999999997,136614,2024-07-26,2024-07-24
222.5,call,26.95,1.7,-25.25,68764,2024-07-26,2024-07-24
215.0,call,33.13,4.64,-28.490000000000002,42335,2024-07-26,2024-07-24
210.0,call,37.86,7.8,-30.06,8449,2024-07-26,2024-07-24
220.0,put,2.24,6.6,4.359999999999999,145691,2024-07-26,2024-07-24
222.5,put,2.71,8.4,5.69,33504,2024-07-26,2024-07-24
215.0,put,1.54,3.6,2.06,178981,2024-07-26,2024-07-24
210.0,put,1.0,2.0,1.0,173537,2024-07-26,2024-07-24
222.5,call,1.7,1.86,0.16000000000000014,69407,2024-07-26,2024-07-25
225.0,call,1.22,1.12,-0.09999999999999987,165213,2024-07-26,2024-07-25
220.0,call,2.42,3.0,0.5800000000000001,73107,2024-07-26,2024-07-25
215.0,call,4.64,6.3,1.6600000000000001,15878,2024-07-26,2024-07-25
222.5,put,8.4,3.85,-4.550000000000001,76874,2024-07-26,2024-07-25
225.0,put,10.5,5.75,-4.75,50899,2024-07-26,2024-07-25
220.0,put,6.6,2.62,-3.9799999999999995,164499,2024-07-26,2024-07-25
215.0,put,3.6,0.95,-2.6500000000000004,166019,2024-07-26,2024-07-25
222.5,call,1.86,0.01,-1.85,117816,2024-07-26,2024-07-26
225.0,call,1.12,0.01,-1.11,112970,2024-07-26,2024-07-26
220.0,call,3.0,0.08,-2.92,191929,2024-07-26,2024-07-26
217.5,call,6.3,2.32,-3.98,78160,2024-07-26,2024-07-26
222.5,put,3.85,2.66,-1.19,24073,2024-07-26,2024-07-26
225.0,put,5.75,5.18,-0.5700000000000003,17927,2024-07-26,2024-07-26
220.0,put,2.62,0.26,-2.3600000000000003,140066,2024-07-26,2024-07-26
217.5,put,0.95,0.01,-0.94,126021,2024-07-26,2024-07-26
232.5,call,1.66,5.45,3.79,58245,2024-08-02,2024-07-29
235.0,call,1.26,4.25,2.99,80010,2024-08-02,2024-07-29
230.0,call,2.24,6.75,4.51,112266,2024-08-02,2024-07-29
227.5,call,2.91,8.3,5.390000000000001,31695,2024-08-02,2024-07-29
232.5,put,14.29,5.6,-8.69,34640,2024-08-02,2024-07-29
235.0,put,16.8,7.15,-9.65,16327,2024-08-02,2024-07-29
230.0,put,12.3,4.5,-7.800000000000001,81955,2024-08-02,2024-07-29
227.5,put,10.35,3.5,-6.85,42055,2024-08-02,2024-07-29
225.0,call,9.91,3.76,-6.15,52652,2024-08-02,2024-07-30
227.5,call,8.3,2.8,-5.500000000000001,37538,2024-08-02,2024-07-30
222.5,call,11.77,5.0,-6.77,23121,2024-08-02,2024-07-30
220.0,call,13.8,6.4,-7.4,16148,2024-08-02,2024-07-30
225.0,put,2.64,5.97,3.3299999999999996,58309,2024-08-02,2024-07-30
227.5,put,3.5,7.64,4.14,42449,2024-08-02,2024-07-30
222.5,put,1.97,4.65,2.6800000000000006,33325,2024-08-02,2024-07-30
220.0,put,1.47,3.6,2.13,77436,2024-08-02,2024-07-30
235.0,call,0.96,2.52,1.56,82640,2024-08-02,2024-07-31
237.5,call,0.68,1.71,1.0299999999999998,30816,2024-08-02,2024-07-31
232.5,call,1.39,3.7,2.3100000000000005,47290,2024-08-02,2024-07-31
230.0,call,2.0,5.1,3.0999999999999996,66665,2024-08-02,2024-07-31
235.0,put,13.3,5.34,-7.960000000000001,12792,2024-08-02,2024-07-31
237.5,put,14.35,7.0,-7.35,1317,2024-08-02,2024-07-31
232.5,put,10.18,3.94,-6.24,25123,2024-08-02,2024-07-31
230.0,put,9.3,2.8,-6.500000000000001,89745,2024-08-02,2024-07-31
235.0,call,0.96,2.52,1.56,82640,2024-08-02,2024-07-31
237.5,call,0.68,1.71,1.0299999999999998,30816,2024-08-02,2024-07-31
232.5,call,1.39,3.7,2.3100000000000005,47290,2024-08-02,2024-07-31
230.0,call,2.0,5.1,3.0999999999999996,66665,2024-08-02,2024-07-31
235.0,put,13.3,5.34,-7.960000000000001,12792,2024-08-02,2024-07-31
237.5,put,14.35,7.0,-7.35,1317,2024-08-02,2024-07-31
232.5,put,10.18,3.94,-6.24,25123,2024-08-02,2024-07-31
230.0,put,9.3,2.8,-6.500000000000001,89745,2024-08-02,2024-07-31
217.5,call,15.05,2.7,-12.350000000000001,20803,2024-08-02,2024-08-01
220.0,call,12.8,1.6,-11.200000000000001,43621,2024-08-02,2024-08-01
215.0,call,17.2,4.1,-13.1,9415,2024-08-02,2024-08-01
212.5,call,19.85,5.75,-14.100000000000001,1671,2024-08-02,2024-08-01
217.5,put,0.39,3.15,2.76,40746,2024-08-02,2024-08-01
220.0,put,0.57,4.6,4.029999999999999,110224,2024-08-02,2024-08-01
215.0,put,0.26,1.96,1.7,69219,2024-08-02,2024-08-01
212.5,put,0.18,1.21,1.03,26777,2024-08-02,2024-08-01
210.0,call,7.8,0.01,-7.79,102847,2024-08-02,2024-08-02
212.5,call,5.75,0.01,-5.74,71727,2024-08-02,2024-08-02
207.5,call,10.2,0.35,-9.85,46174,2024-08-02,2024-08-02
205.0,call,12.2,2.54,-9.66,11062,2024-08-02,2024-08-02
210.0,put,0.72,2.28,1.5599999999999998,138618,2024-08-02,2024-08-02
212.5,put,1.21,5.35,4.14,69679,2024-08-02,2024-08-02
207.5,put,0.41,0.27,-0.13999999999999996,107134,2024-08-02,2024-08-02
205.0,put,0.27,0.01,-0.26,120326,2024-08-02,2024-08-02
207.5,call,7.15,3.2,-3.95,9621,2024-08-09,2024-08-05
210.0,call,5.85,2.6,-3.2499999999999996,35173,2024-08-09,2024-08-05
205.0,call,8.5,4.18,-4.32,19321,2024-08-09,2024-08-05
202.5,call,10.1,5.2,-4.8999999999999995,16025,2024-08-09,2024-08-05
207.5,put,6.7,11.7,4.999999999999999,2787,2024-08-09,2024-08-05
210.0,put,7.9,13.75,5.85,3825,2024-08-09,2024-08-05
205.0,put,5.59,10.25,4.66,7930,2024-08-09,2024-08-05
202.5,put,4.59,9.0,4.41,8839,2024-08-09,2024-08-05
190.0,call,12.3,5.1,-7.200000000000001,5237,2024-08-09,2024-08-07
197.5,call,7.83,6.7,-1.13,21277,2024-08-09,2024-08-06
200.0,call,6.42,5.3,-1.12,57618,2024-08-09,2024-08-06
195.0,call,9.3,8.4,-0.9000000000000004,14372,2024-08-09,2024-08-06
192.5,call,11.0,10.35,-0.6500000000000004,4098,2024-08-09,2024-08-06
197.5,put,6.4,3.65,-2.7500000000000004,27503,2024-08-09,2024-08-06
200.0,put,7.41,4.8,-2.6100000000000003,35509,2024-08-09,2024-08-06
195.0,put,5.25,2.9,-2.35,49522,2024-08-09,2024-08-06
192.5,put,4.51,2.2,-2.3099999999999996,19479,2024-08-09,2024-08-06
192.5,call,10.35,3.75,-6.6,8028,2024-08-09,2024-08-07
187.5,call,14.4,6.5,-7.9,1262,2024-08-09,2024-08-07
185.0,call,16.6,9.4,-7.200000000000001,622,2024-08-09,2024-08-07
190.0,put,1.68,3.1,1.4200000000000002,50893,2024-08-09,2024-08-07
192.5,put,2.2,4.3,2.0999999999999996,26112,2024-08-09,2024-08-07
187.5,put,1.3,2.3,0.9999999999999998,16159,2024-08-09,2024-08-07
185.0,put,0.99,1.62,0.6300000000000001,24260,2024-08-09,2024-08-07
202.5,call,0.71,1.15,0.43999999999999995,43805,2024-08-09,2024-08-08
205.0,call,0.44,0.6,0.15999999999999998,51445,2024-08-09,2024-08-08
200.0,call,1.14,2.04,0.9000000000000001,115789,2024-08-09,2024-08-08
197.5,call,1.76,3.45,1.6900000000000002,42116,2024-08-09,2024-08-08
202.5,put,11.5,4.6,-6.9,3565,2024-08-09,2024-08-08
205.0,put,13.72,6.85,-6.870000000000001,9821,2024-08-09,2024-08-08
200.0,put,9.5,3.05,-6.45,38171,2024-08-09,2024-08-08
197.5,put,7.35,1.88,-5.47,40477,2024-08-09,2024-08-08
202.5,call,1.15,0.01,-1.14,94191,2024-08-09,2024-08-09
205.0,call,0.6,0.01,-0.59,50319,2024-08-09,2024-08-09
200.0,call,2.04,0.05,-1.99,204618,2024-08-09,2024-08-09
197.5,call,3.45,2.5,-0.9500000000000002,83777,2024-08-09,2024-08-09
202.5,put,4.6,2.45,-2.1499999999999995,10387,2024-08-09,2024-08-09
205.0,put,6.85,5.0,-1.8499999999999996,7244,2024-08-09,2024-08-09
200.0,put,3.05,0.07,-2.98,67094,2024-08-09,2024-08-09
197.5,put,1.88,0.01,-1.8699999999999999,118825,2024-08-09,2024-08-09
200.0,call,5.6,3.6,-1.9999999999999996,58152,2024-08-16,2024-08-12
202.5,call,4.45,2.59,-1.8600000000000003,20543,2024-08-16,2024-08-12
197.5,call,7.0,4.79,-2.21,36850,2024-08-16,2024-08-12
195.0,call,8.55,6.1,-2.450000000000001,19785,2024-08-16,2024-08-12
200.0,put,5.45,5.95,0.5,27016,2024-08-16,2024-08-12
202.5,put,6.7,7.55,0.8499999999999996,3149,2024-08-16,2024-08-12
197.5,put,4.35,4.68,0.33000000000000007,34762,2024-08-16,2024-08-12
195.0,put,3.49,3.56,0.06999999999999984,45477,2024-08-16,2024-08-12
207.5,call,1.3,4.2,2.9000000000000004,51200,2024-08-16,2024-08-13
210.0,call,0.91,2.99,2.08,99430,2024-08-16,2024-08-13
205.0,call,1.89,5.69,3.8000000000000007,81144,2024-08-16,2024-08-13
202.5,call,2.59,7.5,4.91,32487,2024-08-16,2024-08-13
207.5,put,11.25,3.6,-7.65,12876,2024-08-16,2024-08-13
210.0,put,13.2,5.0,-8.2,6691,2024-08-16,2024-08-13
205.0,put,9.4,2.55,-6.8500000000000005,44280,2024-08-16,2024-08-13
202.5,put,7.55,1.8,-5.75,28462,2024-08-16,2024-08-13
202.5,call,7.5,2.66,-4.84,44985,2024-08-16,2024-08-14
205.0,call,5.69,1.7,-3.99,84923,2024-08-16,2024-08-14
200.0,call,9.45,4.0,-5.449999999999999,40701,2024-08-16,2024-08-14
197.5,call,11.58,5.8,-5.78,4345,2024-08-16,2024-08-14
202.5,put,1.8,3.68,1.8800000000000001,31340,2024-08-16,2024-08-14
205.0,put,2.55,5.15,2.6000000000000005,29227,2024-08-16,2024-08-14
200.0,put,1.23,2.52,1.29,91416,2024-08-16,2024-08-14
197.5,put,0.84,1.61,0.7700000000000001,59203,2024-08-16,2024-08-14
215.0,call,0.23,2.04,1.81,175166,2024-08-16,2024-08-15
217.5,call,0.15,1.18,1.03,68991,2024-08-16,2024-08-15
212.5,call,0.36,3.32,2.96,68655,2024-08-16,2024-08-15
210.0,call,0.6,5.07,4.470000000000001,101104,2024-08-16,2024-08-15
215.0,put,13.75,2.7,-11.05,51302,2024-08-16,2024-08-15
217.5,put,16.0,4.6,-11.4,8309,2024-08-16,2024-08-15
212.5,put,11.9,1.58,-10.32,91636,2024-08-16,2024-08-15
210.0,put,9.05,0.83,-8.22,121037,2024-08-16,2024-08-15
